Tanggal,Banyak Penjualan,Penjualan Kotor,Diskon,Penjualan Bersih,Total Uang Diterima
2025-04-01,324,5021000,0,5021000,5021000
2025-04-02,240,3949000,0,3949000,3949000
2025-04-03,342,4787000,0,4787000,4787000
2025-04-04,328,5029000,0,5029000,5029000
2025-04-05,308,4302000,0,4302000,4302000
2025-04-06,258,4103000,0,4103000,4103000
2025-04-07,296,4280000,0,4280000,4280000
2025-04-08,271,4039000,0,4039000,4039000
2025-04-09,287,4267000,0,4267000,4267000
2025-04-10,223,3433000,0,3433000,3433000
2025-04-11,211,3108000,0,3108000,3108000
2025-04-12,167,2452000,0,2452000,2452000
2025-04-13,167,2417000,0,2417000,2417000
2025-04-14,184,2961000,0,2961000,2961000
2025-04-15,217,3184000,0,3184000,3184000
2025-04-16,172,2471000,0,2471000,2471000
2025-04-17,152,2181000,0,2181000,2181000
2025-04-18,208,2931000,0,2931000,2931000
2025-04-19,219,3198000,0,3198000,3198000
2025-04-20,188,2884000,0,2884000,2884000
2025-04-21,181,2527000,0,2527000,2527000
2025-04-22,216,3147000,0,3147000,3147000
2025-04-23,184,2628000,0,2628000,2628000
2025-04-24,222,3200000,0,3200000,3200000
2025-04-25,198,2906000,0,2906000,2906000
2025-04-26,169,2509000,0,2509000,2509000
2025-04-27,166,2478000,0,2478000,2478000
2025-04-28,206,2955000,0,2955000,2955000
2025-04-29,173,2625000,0,2625000,2625000
2025-04-30,205,2869000,0,2869000,2869000
2025-05-01,154,2382000,0,2382000,2382000
2025-05-02,205,3178000,0,3178000,3178000
2025-05-03,159,2404000,0,2404000,2404000
2025-05-04,154,2228000,0,2228000,2228000
